"transactionId","userId","ageGroup","gender","date","amount","merchant","source","paymentMethod","category","type","importBatchId","createdAt"
"DUMMY-2026-0001","presentation_demo_user","30s","unspecified","2026-01-02","400","サンプルサービスA","PayPay","PayPay","その他","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0024","presentation_demo_user","30s","unspecified","2026-01-02","72","ENEOS サンプル店","VISA","VISA","交通費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0027","presentation_demo_user","30s","unspecified","2026-01-03","128","docomo サンプル","JCB","JCB","通信費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0009","presentation_demo_user","30s","unspecified","2026-01-05","1404","イオン サンプル店","PayPay","PayPay","食費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0026","presentation_demo_user","30s","unspecified","2026-01-05","144","東京ガス サンプル","VISA","VISA","光熱費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0007","presentation_demo_user","30s","unspecified","2026-01-06","400","サンプルサービスG","PayPay","PayPay","その他","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0029","presentation_demo_user","30s","unspecified","2026-01-06","88","サンプル家賃","JCB","JCB","住居費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0002","presentation_demo_user","30s","unspecified","2026-01-07","400","サンプルサービスB","JCB","JCB","その他","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0013","presentation_demo_user","30s","unspecified","2026-01-08","1456","Amazon サンプル購入","JCB","JCB","ネットでの購入","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0028","presentation_demo_user","30s","unspecified","2026-01-08","128","NTT サンプル","VISA","VISA","通信費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0010","presentation_demo_user","30s","unspecified","2026-01-10","1404","セブンイレブン サンプル店","PayPay","PayPay","食費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0008","presentation_demo_user","30s","unspecified","2026-01-11","400","サンプルサービスH","JCB","JCB","その他","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0015","presentation_demo_user","30s","unspecified","2026-01-11","864","マツモトキヨシ サンプル店","PayPay","PayPay","日用品","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0030","presentation_demo_user","30s","unspecified","2026-01-11","88","サンプル住宅ローン","VISA","VISA","住居費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0003","presentation_demo_user","30s","unspecified","2026-01-12","400","サンプルサービスC","VISA","VISA","その他","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0014","presentation_demo_user","30s","unspecified","2026-01-13","1456","楽天市場 サンプル購入","VISA","VISA","ネットでの購入","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0017","presentation_demo_user","30s","unspecified","2026-01-14","520","ユニクロ サンプル店","JCB","JCB","衣服費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0011","presentation_demo_user","30s","unspecified","2026-01-15","1404","スターバックス サンプル店","JCB","JCB","食費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0016","presentation_demo_user","30s","unspecified","2026-01-16","864","ニトリ サンプル店","JCB","JCB","日用品","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0004","presentation_demo_user","30s","unspecified","2026-01-17","400","サンプルサービスD","PayPay","PayPay","その他","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0019","presentation_demo_user","30s","unspecified","2026-01-17","160","TOHOシネマズ サンプル","JCB","JCB","娯楽","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0018","presentation_demo_user","30s","unspecified","2026-01-19","520","ABC-MART サンプル店","VISA","VISA","衣服費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0012","presentation_demo_user","30s","unspecified","2026-01-20","1404","サイゼリヤ サンプル店","VISA","VISA","食費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0021","presentation_demo_user","30s","unspecified","2026-01-20","160","さくら歯科 サンプル","PayPay","PayPay","医療費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0005","presentation_demo_user","30s","unspecified","2026-01-22","400","サンプルサービスE","JCB","JCB","その他","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0020","presentation_demo_user","30s","unspecified","2026-01-22","160","Netflix サンプル","VISA","VISA","娯楽","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0023","presentation_demo_user","30s","unspecified","2026-01-23","72","JR東日本 サンプル","PayPay","PayPay","交通費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0022","presentation_demo_user","30s","unspecified","2026-01-25","160","みどりクリニック サンプル","JCB","JCB","医療費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0025","presentation_demo_user","30s","unspecified","2026-01-26","144","東京電力 サンプル","JCB","JCB","光熱費","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0006","presentation_demo_user","30s","unspecified","2026-01-27","400","サンプルサービスF","VISA","VISA","その他","expense","DUMMY-BATCH-202601","2026-09-02T12:00:00Z"
"DUMMY-2026-0031","presentation_demo_user","30s","unspecified","2026-02-02","400","サンプルサービスA","PayPay","PayPay","その他","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0054","presentation_demo_user","30s","unspecified","2026-02-02","72","ENEOS サンプル店","VISA","VISA","交通費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0057","presentation_demo_user","30s","unspecified","2026-02-03","128","docomo サンプル","JCB","JCB","通信費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0039","presentation_demo_user","30s","unspecified","2026-02-05","1404","イオン サンプル店","PayPay","PayPay","食費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0056","presentation_demo_user","30s","unspecified","2026-02-05","144","東京ガス サンプル","VISA","VISA","光熱費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0037","presentation_demo_user","30s","unspecified","2026-02-06","400","サンプルサービスG","PayPay","PayPay","その他","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0059","presentation_demo_user","30s","unspecified","2026-02-06","88","サンプル家賃","JCB","JCB","住居費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0032","presentation_demo_user","30s","unspecified","2026-02-07","400","サンプルサービスB","JCB","JCB","その他","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0043","presentation_demo_user","30s","unspecified","2026-02-08","1456","Amazon サンプル購入","JCB","JCB","ネットでの購入","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0058","presentation_demo_user","30s","unspecified","2026-02-08","128","NTT サンプル","VISA","VISA","通信費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
